2022-01-26 17:43:02,541 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_scheme_callback'
2022-01-26 17:43:02,679 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'hotkey-dialog-vbox1'
2022-01-26 17:43:02,679 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'new-hotkey-label'
2022-01-26 17:43:02,683 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_dialog','delete_event', 'on_delete_event'
2022-01-26 17:43:02,684 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_input','key_press_event', 'on_hotkey_input_key_press_event'
2022-01-26 17:43:03,065 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2022-01-26 17:43:06,015 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_showhotkey_dialog() | Show hotkey-dialog for hotkey-show-app
2022-01-26 17:43:06,608 | DEBUG | ulauncher: on_hotkey_input_key_press_event() | Invalid hotkey 'X', ('x') is not allowed
2022-01-26 17:44:12,471 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_showhotkey_dialog() | Show hotkey-dialog for hotkey-show-app
2022-01-26 17:44:14,821 | DEBUG | ulauncher: on_hotkey_input_key_press_event() | Invalid hotkey 'Return', ('Return') is not allowed
2022-01-26 17:44:14,834 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_hotkey_show_app() | Set hotkey-show-app to Super_L
2022-01-26 17:44:14,835 | INFO | ulauncher.ui.windows.UlauncherWindow: bind_show_app_hotkey() | Trying to bind app hotkey: Super_L
2022-01-26 17:44:17,111 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2022-01-26 17:44:17,466 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:17,467 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:17,468 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:18,107 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:18,107 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:18,108 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:19,258 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:19,258 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:19,259 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:27,814 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:27,814 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:27,815 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:28,571 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:28,571 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:28,572 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:29,721 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:29,722 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:29,723 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:34,619 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:34,619 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:34,621 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:41,091 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:41,091 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:41,092 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:41,914 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:41,914 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:41,916 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:42,777 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:42,777 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:42,778 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:48,787 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:48,787 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:48,788 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:49,685 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:44:49,686 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:44:49,686 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:44:51,003 | INFO | ulauncher.utils.image_loader: get_app_icon_pixbuf() | Could not load icon for hwloc. E: gtk-icon-theme-error-quark: Icon 'hwloc' not present in theme WhiteSur-dark (0)
2022-01-26 17:44:51,040 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:44:51,216 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:44:51,296 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:44:51,380 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:44:51,528 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:44:51,632 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 17:44:51,828 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 17:44:51,941 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-01-26 17:44:51,952 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:45:11,670 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:45:11,670 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:45:11,672 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:45:12,441 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:45:12,500 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:45:12,686 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:45:12,804 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:45:12,967 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:45:13,076 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 17:45:13,298 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox (/usr/share/applications/firefox.desktop) Exec ['/usr/lib/firefox/firefox']
2022-01-26 17:45:13,305 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,603 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,604 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,605 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,633 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,633 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,634 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,635 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,635 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,635 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,637 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,637 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,638 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,644 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,644 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,644 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,645 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,645 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,645 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,647 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:03,647 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:03,648 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:03,815 | INFO | ulauncher: _reload_configs() | Received SIGHUP. Reloading configs
2022-01-26 17:46:04,460 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:46:04,460 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:46:04,463 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:46:13,508 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2022-01-26 17:46:13,605 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 17:46:13,806 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 17:46:13,963 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2022-01-26 17:46:14,049 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 17:46:14,234 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 17:46:14,384 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:46:14,508 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Konsole (/usr/share/applications/org.kde.konsole.desktop) Exec ['konsole']
2022-01-26 17:46:14,521 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:51:09,293 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:51:09,293 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:51:09,294 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:51:10,653 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:51:10,764 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:51:11,009 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:51:11,145 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 17:51:11,259 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 17:51:11,390 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop) Exec ['gapplication', 'launch', 'org.gnome.Nautilus']
2022-01-26 17:51:11,402 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:57:14,794 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 17:57:14,794 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 17:57:14,796 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:57:16,003 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2022-01-26 17:57:16,326 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 17:57:16,445 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:57:16,570 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:57:16,772 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 17:57:16,832 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 17:57:16,892 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 17:57:17,049 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop) Exec ['gapplication', 'launch', 'org.gnome.Nautilus']
2022-01-26 17:57:17,060 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:08:33,512 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2022-01-26 18:08:33,513 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2022-01-26 18:08:33,514 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:08:34,029 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:08:34,154 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:08:34,347 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 2 results
2022-01-26 18:08:34,413 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2022-01-26 18:08:34,480 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 1 results
2022-01-26 18:08:34,631 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Files (/usr/share/applications/org.gnome.Nautilus.desktop) Exec ['gapplication', 'launch', 'org.gnome.Nautilus']
2022-01-26 18:08:34,648 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 0 results
2022-01-26 18:16:44,171 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
